PROSPECTID,MARITALSTATUS,EDUCATION,AGE,GENDER,NETMONTHLYINCOME,Time_With_Curr_Empr,pct_of_active_TLs_ever,PL_Flag,pct_PL_enq_L6m_of_ever,HL_Flag,GL_Flag,last_prod_enq2,Credit_Score
25424,Single,GRADUATE,22,M,28000,36,0.6,0,0.0,0,0,ConsumerLoan,684
31957,Single,GRADUATE,23,M,20000,52,1.0,0,0.0,1,0,others,699
25296,Married,12TH,32,M,30000,74,0.0,0,0.0,1,0,others,691
19963,Married,GRADUATE,31,M,30000,63,0.75,1,0.417,0,0,PL,662
47390,Married,POST-GRADUATE,24,M,12,30,1.0,0,1.0,0,0,ConsumerLoan,679
43391,Single,12TH,27,M,20500,98,0.212,0,0.286,1,0,CC,664
42988,Single,UNDER GRADUATE,21,F,16000,38,1.0,0,0.0,0,0,others,678
30544,Married,POST-GRADUATE,31,M,13600,78,0.6,0,0.0,1,0,ConsumerLoan,668
16059,Married,OTHERS,58,F,30000,76,0.281,1,0.6,1,0,ConsumerLoan,718
23348,Married,12TH,61,F,20000,210,1.0,0,0.0,0,0,AL,678
6319,Married,POST-GRADUATE,39,F,43000,184,1.0,0,0.0,0,0,others,670
20358,Married,GRADUATE,33,M,40000,63,0.25,1,0.25,1,0,PL,689
41378,Married,12TH,28,M,18000,126,1.0,0,0.0,0,0,ConsumerLoan,663
44279,Married,SSC,51,M,25000,131,0.6,0,0.0,0,0,others,712
22406,Single,12TH,23,M,28000,77,0.5,0,1.0,1,0,PL,666
28601,Married,GRADUATE,27,M,17500,38,0.0,0,0.0,0,0,others,698
42933,Married,GRADUATE,33,M,31600,151,1.0,0,0.0,0,0,ConsumerLoan,676
13657,Married,12TH,30,M,19000,150,0.0,0,0.0,1,0,others,655
29488,Married,12TH,37,M,15000,101,0.333,0,0.0,0,0,others,683
24801,Single,POST-GRADUATE,28,M,35000,66,0.0,0,0.0,0,0,AL,692
14771,Married,UNDER GRADUATE,57,F,25000,188,0.0,0,0.0,1,0,others,669
1019,Single,UNDER GRADUATE,32,M,18000,45,0.0,0,0.0,1,0,others,677
14764,Married,GRADUATE,30,M,25000,101,0.5,0,1.0,1,0,ConsumerLoan,690
26423,Married,GRADUATE,32,M,11000,74,0.0,0,0.0,1,0,others,665
706,Married,SSC,30,M,14500,129,1.0,0,0.0,0,0,PL,674
1963,Married,UNDER GRADUATE,33,M,16000,66,0.0,0,0.0,0,0,ConsumerLoan,685
17762,Married,GRADUATE,35,M,35000,161,0.333,0,0.0,1,0,others,717
5962,Single,12TH,29,M,78000,99,0.5,0,0.0,0,0,CC,656
21175,Married,GRADUATE,36,M,15000,130,1.0,0,0.0,0,0,AL,685
18840,Single,GRADUATE,25,M,20000,46,0.08,0,0.0,1,0,others,659
45099,Married,SSC,56,M,39000,128,0.6,0,0.0,0,0,others,678
15084,Single,UNDER GRADUATE,26,M,20000,50,1.0,0,0.0,0,0,others,676
32608,Married,12TH,48,M,22000,304,1.0,0,0.0,0,0,others,685
19309,Single,SSC,27,M,12500,78,0.0,0,1.0,1,0,PL,650
9331,Married,12TH,32,M,30000,125,0.25,0,0.0,1,0,ConsumerLoan,690
50617,Single,12TH,28,M,35000,87,0.5,0,1.0,0,0,PL,663
41701,Married,GRADUATE,47,M,18000,126,1.0,0,0.0,0,0,ConsumerLoan,699
9931,Single,12TH,27,M,20000,30,1.0,0,0.0,0,0,CC,712
7573,Married,POST-GRADUATE,51,F,50000,251,1.0,0,0.0,0,0,AL,688
46137,Married,UNDER GRADUATE,32,M,27000,141,0.5,1,0.0,0,0,CC,713
32068,Married,12TH,38,M,23000,129,0.333,1,0.0,0,0,others,714
32884,Single,12TH,27,M,18000,250,0.667,0,0.0,0,0,ConsumerLoan,655
44700,Married,SSC,28,M,13000,36,1.0,0,0.0,0,0,others,669
12280,Married,SSC,37,M,28000,98,1.0,0,0.0,0,0,others,674
39924,Married,12TH,34,M,13000,153,1.0,0,0.0,0,0,others,691
40370,Married,GRADUATE,32,M,23000,100,1.0,0,0.0,0,0,CC,671
24665,Married,12TH,49,M,40000,189,0.5,0,0.0,1,0,others,657
22424,Single,SSC,26,M,14500,80,1.0,0,0.0,0,0,others,677
19934,Married,12TH,34,M,41800,155,0.667,0,0.333,0,0,ConsumerLoan,616
17758,Single,12TH,25,M,12000,128,1.0,0,0.0,0,0,ConsumerLoan,666
31405,Married,12TH,32,M,30000,92,0.333,0,0.667,0,0,ConsumerLoan,697
16588,Married,GRADUATE,41,F,25000,65,1.0,0,0.0,0,0,ConsumerLoan,678
25116,Married,12TH,34,M,65000,128,0.833,0,0.0,1,0,ConsumerLoan,718
18580,Single,POST-GRADUATE,26,F,42000,130,1.0,0,0.0,0,0,ConsumerLoan,657
41673,Single,12TH,22,M,9126,13,1.0,0,0.0,0,0,others,680
48265,Married,GRADUATE,46,M,40000,101,0.273,1,0.0,0,1,others,711
38223,Married,SSC,35,M,32000,76,1.0,0,0.0,0,0,others,693
24509,Married,12TH,59,F,25400,369,0.444,0,1.0,1,0,others,677
19006,Married,GRADUATE,32,F,20000,130,0.667,0,1.0,0,0,PL,670
31408,Married,OTHERS,42,M,28000,35,0.2,1,0.0,0,0,AL,720
49689,Single,GRADUATE,31,M,18000,101,0.5,0,0.0,0,0,others,709
45740,Married,SSC,27,M,25000,66,0.75,0,0.0,1,0,ConsumerLoan,683
30549,Married,GRADUATE,33,M,9000,122,0.3,1,0.0,0,0,PL,692
48760,Married,SSC,28,M,28000,103,1.0,0,0.0,0,0,others,689
40897,Married,POST-GRADUATE,44,M,22000,233,0.143,0,0.0,0,0,others,707
47539,Married,UNDER GRADUATE,29,M,20426,89,1.0,0,0.0,0,0,ConsumerLoan,661
37308,Single,SSC,39,M,15000,33,1.0,0,1.0,0,0,PL,664
51267,Married,12TH,37,M,20000,42,0.462,0,0.0,1,0,ConsumerLoan,733
22116,Single,GRADUATE,22,M,48754,62,1.0,0,0.5,0,0,PL,670
24119,Married,SSC,28,M,23000,101,0.0,0,0.0,0,0,ConsumerLoan,672
9656,Married,UNDER GRADUATE,26,M,15000,71,1.0,0,0.0,0,0,ConsumerLoan,677
12527,Married,OTHERS,26,M,50000,36,0.0,0,0.0,0,0,others,671
5506,Married,GRADUATE,34,M,26000,175,1.0,0,0.0,0,0,others,692
44074,Single,UNDER GRADUATE,27,M,18000,42,0.474,0,0.0,1,0,ConsumerLoan,668
8684,Single,GRADUATE,27,M,25000,30,1.0,0,0.0,0,0,ConsumerLoan,670
24502,Married,GRADUATE,25,M,65000,369,0.357,1,0.0,0,1,ConsumerLoan,681
47742,Married,12TH,32,M,25000,220,0.333,0,0.0,0,0,ConsumerLoan,709
46532,Married,SSC,40,M,23000,38,0.0,0,1.0,0,0,ConsumerLoan,670
36175,Married,GRADUATE,36,M,23000,247,1.0,0,0.0,0,0,others,671
391,Married,SSC,34,M,15000,114,0.0,0,0.0,0,0,others,671
19746,Married,PROFESSIONAL,33,M,25000,124,0.0,0,0.0,0,0,others,675
10460,Married,12TH,27,M,25000,125,1.0,0,0.0,0,0,ConsumerLoan,662
19628,Single,GRADUATE,26,M,25000,98,0.875,0,1.0,0,0,ConsumerLoan,676
36678,Married,12TH,43,M,28000,149,0.1,1,0.0,0,0,PL,713
25982,Married,12TH,44,F,15000,62,0.25,0,0.0,1,0,PL,732
40561,Married,GRADUATE,40,M,15000,250,0.1,0,0.0,0,0,others,699
28632,Married,12TH,28,M,35000,66,1.0,0,1.0,0,0,ConsumerLoan,659
28161,Single,UNDER GRADUATE,47,M,26000,154,0.2,1,0.0,1,0,CC,701
14883,Single,UNDER GRADUATE,28,M,45000,126,0.0,0,0.0,0,0,ConsumerLoan,677
50410,Married,SSC,55,M,19500,65,0.0,0,0.0,0,1,HL,735
26481,Single,12TH,25,M,16000,44,1.0,0,0.0,0,0,ConsumerLoan,671
31298,Single,GRADUATE,21,M,15000,17,1.0,0,0.0,1,0,ConsumerLoan,659
7171,Married,OTHERS,51,M,40000,54,0.75,0,0.0,0,0,ConsumerLoan,685
38309,Single,GRADUATE,22,M,40000,23,1.0,0,0.0,0,0,others,685
40215,Married,POST-GRADUATE,36,F,25000,184,0.5,0,1.0,0,0,ConsumerLoan,689
20967,Single,SSC,33,M,22000,242,0.0,0,0.0,0,0,others,664
32361,Married,SSC,39,M,28000,196,1.0,0,0.0,0,1,others,719
21515,Married,12TH,46,M,22000,29,1.0,0,0.5,0,0,ConsumerLoan,684
13007,Married,GRADUATE,34,M,10060,62,0.0,0,0.0,0,0,others,681
31792,Married,SSC,38,M,25000,77,1.0,0,1.0,0,0,ConsumerLoan,655
5851,Married,SSC,38,F,22000,130,0.125,0,0.0,1,0,others,653
9511,Married,12TH,44,M,22000,246,1.0,0,0.5,0,0,ConsumerLoan,651
48378,Married,GRADUATE,38,M,29000,98,0.182,1,0.0,0,0,ConsumerLoan,743
41254,Married,12TH,35,M,37,150,0.6,0,0.5,0,0,PL,708
2133,Married,SSC,29,M,28000,161,1.0,0,0.0,0,0,others,680
4039,Single,GRADUATE,25,M,22000,82,1.0,0,0.0,0,0,others,683
25466,Married,GRADUATE,39,M,60000,191,0.5,0,0.75,0,0,PL,652
18339,Single,GRADUATE,23,M,20000,90,0.833,1,0.692,0,0,ConsumerLoan,546
8636,Married,SSC,42,M,18000,65,1.0,0,0.0,0,0,AL,689
17931,Married,POST-GRADUATE,49,M,50000,282,0.19,1,0.0,1,0,PL,754
135,Married,12TH,46,M,27000,116,1.0,0,0.0,0,0,ConsumerLoan,630
28571,Married,GRADUATE,30,M,68000,133,0.5,0,0.5,0,0,others,672
39565,Married,UNDER GRADUATE,29,M,32500,63,0.3,1,0.0,0,0,PL,718
2537,Married,12TH,36,M,18000,122,0.0,0,0.0,1,0,CC,677
16943,Married,12TH,48,M,35000,264,0.714,0,0.0,1,0,ConsumerLoan,709
47035,Married,12TH,25,M,10529,30,0.111,0,0.0,1,0,others,669
6217,Married,SSC,41,M,14000,191,1.0,0,0.0,1,0,others,698
29875,Married,12TH,34,M,15000,125,0.833,0,0.0,1,0,others,674
46444,Married,UNDER GRADUATE,32,M,37500,238,1.0,0,0.0,0,0,others,672
24606,Married,12TH,25,M,16000,71,1.0,0,0.0,0,0,others,679
9337,Married,GRADUATE,46,F,35000,146,0.0,0,0.0,0,0,HL,689
40495,Married,GRADUATE,24,M,23000,85,0.5,0,0.0,0,0,ConsumerLoan,666
26045,Married,12TH,29,M,20000,90,0.5,0,0.0,0,0,others,689
7652,Married,12TH,40,F,25000,99,1.0,0,0.0,0,0,others,683
43259,Married,UNDER GRADUATE,24,F,20000,71,1.0,0,0.0,0,0,PL,673
33421,Married,SSC,44,M,18000,125,1.0,0,0.0,0,0,AL,678
7708,Single,GRADUATE,30,M,20000,219,1.0,0,0.0,0,0,others,708
4524,Married,POST-GRADUATE,33,M,34000,103,1.0,0,0.0,0,0,others,688
10856,Married,GRADUATE,39,M,25000,124,0.25,0,0.0,1,0,others,675
51225,Married,12TH,29,M,35200,98,1.0,0,0.0,0,0,others,697
825,Married,SSC,33,M,30000,126,1.0,0,0.0,0,0,AL,686
4228,Single,UNDER GRADUATE,22,M,18000,65,0.0,0,0.0,0,0,others,702
24998,Married,SSC,34,M,22000,76,0.333,0,0.0,0,0,others,695
50414,Married,SSC,40,M,28000,66,1.0,1,0.333,0,0,PL,667
28992,Single,12TH,22,M,12000,61,1.0,0,0.0,0,0,ConsumerLoan,676
29428,Married,GRADUATE,31,M,45000,250,0.25,0,0.75,0,0,PL,674
33844,Married,12TH,33,M,23000,222,1.0,0,0.0,0,0,ConsumerLoan,682
3363,Married,GRADUATE,28,M,38000,145,0.5,0,0.0,0,0,ConsumerLoan,664
24413,Married,GRADUATE,48,M,28000,190,1.0,1,1.0,0,0,PL,667
